Tree ID,Planting Date,Height (m),Status,Health,spc_latin,spc_common,Borough Code,Latitude,Longitude
481618,2016-11-24,23,True,Good,Acer platanoides,Norway maple,5,40.62709878,-74.13873007
037616,2016-06-28,11,True,Fair,Pyrus calleryana,Callery pear,4,40.70130444,-73.90244872
527272,2016-12-19,7,True,Good,Tilia americana,American linden,3,40.67992284,-73.9993968
661823,2016-08-11,3,False,,,,4,40.74953073,-73.75828267
423443,2016-11-03,4,True,Fair,Pyrus calleryana,Callery pear,3,40.66795597,-73.88197267
195410,2016-09-01,3,True,Good,Platanus x acerifolia,London planetree,4,40.76297316,-73.87060949
174438,2016-08-25,4,True,Good,Tilia americana,American linden,1,40.75457828,-73.96601516
351351,2016-10-20,19,True,Good,Ulmus americana,American elm,4,40.69161899,-73.81224488
191424,2016-08-31,11,True,Good,Pyrus calleryana,Callery pear,3,40.67812558,-73.99886914
369069,2016-10-23,2,True,Good,Quercus palustris,pin oak,2,40.86107908,-73.90775059
219355,2016-09-12,19,True,Good,Styphnolobium japonicum,Sophora,4,40.57912529,-73.84493838
153292,2016-08-17,4,True,Good,Quercus alba,white oak,3,40.68860979,-73.99413773
072636,2016-07-16,6,True,Good,Koelreuteria paniculata,golden raintree,1,40.71660822,-73.98859257
226627,2016-09-15,3,True,Good,Syringa reticulata,Japanese tree lilac,3,40.62111547,-73.93285628
208688,2016-09-07,13,True,Good,Catalpa,catalpa,3,40.69492503,-73.93391209
079842,2016-07-20,5,True,Good,Pyrus calleryana,Callery pear,3,40.57464507,-73.96975795
341693,2016-10-17,43,True,Fair,Ulmus pumila,Siberian elm,2,40.84749772,-73.7866901
266156,2016-09-28,9,True,Good,Fraxinus pennsylvanica,green ash,1,40.80718295,-73.93994272
181367,2016-08-28,5,True,Good,Quercus alba,white oak,4,40.76220232,-73.78643409
527582,2016-12-20,6,True,Fair,Liquidambar styraciflua,sweetgum,5,40.53240726,-74.16048873
116556,2016-08-04,7,True,Good,Acer platanoides,Norway maple,2,40.88462115,-73.90534272
455041,2016-11-13,6,True,Good,Zelkova serrata,Japanese zelkova,3,40.66487641,-73.88251005
577133,2016-06-06,5,True,Good,Zelkova serrata,Japanese zelkova,3,40.61983666,-73.90294585
028848,2016-06-22,17,False,,,,2,40.91111063,-73.90585896
299701,2016-10-08,13,True,Good,Platanus x acerifolia,London planetree,5,40.50732069,-74.2490353
561636,2016-05-18,14,False,,,,5,40.58012121,-74.10275547
693542,2016-09-02,18,True,Fair,Platanus x acerifolia,London planetree,3,40.64723044,-73.91763339
359021,2016-10-21,4,True,Good,Quercus palustris,pin oak,5,40.53606933,-74.20816543
135718,2016-08-11,12,True,Good,"Acer platanoides 'Crimson King'",crimson king maple,4,40.71209907,-73.83283133
099271,2016-07-28,12,True,Good,Tilia americana,American linden,4,40.73467201,-73.79996254
100744,2016-07-29,21,True,Good,Platanus x acerifolia,London planetree,3,40.6919362,-73.99347039
210257,2016-09-08,4,True,Good,Crataegus crusgalli var. inermis,cockspur hawthorn,5,40.57224035,-74.1001228
179676,2016-08-27,5,True,Good,Quercus bicolor,swamp white oak,3,40.72221435,-73.94967798
141631,2016-08-13,17,True,Good,Quercus palustris,pin oak,5,40.63329587,-74.15621213
158982,2016-08-19,1,True,Fair,Koelreuteria paniculata,golden raintree,4,40.57277444,-73.85575572
209152,2016-09-08,8,True,Good,Acer rubrum,red maple,5,40.59342357,-74.07545831
091564,2016-07-25,5,True,Good,Acer platanoides,Norway maple,5,40.55236155,-74.15207743
645718,2016-07-29,16,True,Good,Fraxinus,ash,4,40.68878624,-73.85394105
161861,2016-08-20,7,True,Good,Pyrus calleryana,Callery pear,5,40.5063359,-74.25153347
597138,2016-06-22,32,True,Good,Fraxinus pennsylvanica,green ash,4,40.78903509,-73.79484839
283923,2016-10-05,4,True,Good,Pyrus calleryana,Callery pear,5,40.51813779,-74.23945747
715684,2016-09-15,5,True,Good,Quercus bicolor,swamp white oak,4,40.70474604,-73.80327925
346200,2016-10-19,19,True,Good,Acer platanoides,Norway maple,2,40.83428946,-73.87170025
677351,2016-08-24,6,True,Good,Prunus,cherry,4,40.71056341,-73.87181629
371165,2016-10-23,12,True,Good,Fraxinus pennsylvanica,green ash,4,40.65876051,-73.74061405
104756,2016-07-30,2,True,Good,Quercus palustris,pin oak,3,40.73115774,-73.9587057
202913,2016-09-04,20,True,Good,Picea,spruce,4,40.76153048,-73.78101643
